#SOCIAL
Name        accuse~
CharNoArg   Accuse whom?~
OthersNoArg $n is in an accusing mood.~
CharFound   You look accusingly at $N.~
OthersFound $n looks accusingly at $N.~
VictFound   $n looks accusingly at you.~
CharAuto    You accuse yourself.~
OthersAuto  $n seems to have a bad conscience.~
End

#SOCIAL
Name        ack~
CharNoArg   You gasp and say 'ACK!' at your mistake.~
OthersNoArg $n ACKS at $s big mistake.~
CharFound   You ACK $M.~
OthersFound $n ACKS $N.~
VictFound   $n ACKS you.~
CharAuto    You ACK yourself.~
OthersAuto  $n ACKS $mself.  Must be a bad day.~
End

#SOCIAL
Name        addict~
CharNoArg   You stand and admit to all in the room, 'Hi, I'm $n, and I'm a mud addict.'~
OthersNoArg $n stands and says, 'Hi, I'm $n, and I'm a mud addict.'~
CharFound   You tell $M that you are addicted to $S love.~
OthersFound $n tells $N that $e is addicted to $S love.~
VictFound   $n tells you that $e is addicted to your love.~
CharAuto    You stand and admit to all in the room, 'Hi, I'm $n, and I'm a mud addict.'~
OthersAuto  $n stands and says, 'Hi, I'm $n, and I'm a mud addict.'~
End

#SOCIAL
Name        adore~
CharNoArg   You are looking for someone to adore!~
OthersNoArg $n is looking for someone to adore!~
CharFound   You look at $N with adoring eyes.~
OthersFound $n looks at $N with adoring eyes.~
VictFound   $n looks at you with adoring eyes.~
CharAuto    Aww! You adore yourself!~
OthersAuto  $n adores $mself soooo much!~
End

#SOCIAL
Name        afkcheck~
CharNoArg   You wonder how many afk characters there are in this room.~
OthersNoArg $n looks at the characters in this room, muttering something about afkers.~
CharFound   You slowly move your hand across across $N's sight a few times, trying to figure out if $E is afk or not.~
OthersFound $n slowly moves $s hand across $N's sight a few times. It looks like $e thinks $N is afk!~
VictFound   $n slowly moves $s hand across your sight a few times. It looks like $e thinks you're afk!~
CharAuto    You try to figure out if you're afk or not.~
OthersAuto  $n wonders if $e's afk or not. ~
End

#SOCIAL
Name        again~
CharNoArg   You think, "not again!"~
OthersNoArg $n hits $s head on a tree and cries, "Not AGAIN!?"~
CharFound   You beg $N to do it again!  You must have enjoyed the first time.~
OthersFound $n looks at $N and says, "Thank you, may I have another?"~
VictFound   $n begs you for a repeat performance. Do it again!~
CharAuto    You make a mental note to do that again.~
OthersAuto  $n makes a mental note to do what $e just did more often!~
End

#SOCIAL
Name        agree~
CharNoArg   You seem to be in an agreeable mood.~
OthersNoArg $n seems to agree.~
CharFound   You agree with $M.~
OthersFound $n agrees with $N.~
VictFound   $n agrees with you.~
CharAuto    Well I hope you would agree with yourself!~
OthersAuto  $n agrees with $mself, of course.~
End

#SOCIAL
Name        ahem~
CharNoArg   You clear your throat loudly and look slowly around.~
OthersNoArg $n clears $s throat loudly and looks around.~
CharFound   You cock an eyebrow at $N and clear your throat.~
OthersFound $n cocks an eyebrow at $N and clears $s throat.~
VictFound   $n cocks an eyebrow at you and clears $s throat.~
CharAuto    You quickly clear your throat and glance around nervously.~
OthersAuto  $n suddenly clears $s throat and glances around nervously.~
End

#SOCIAL
Name        ahh~
CharNoArg   You nod your head in understanding "Ahhh yes..."~
OthersNoArg $n nods $s head in understanding, saying "Ahhh, yes.."~
CharFound   You look at $M and think, "Ahhh....Yes!"~
OthersFound $n says "Ahhh, yes..." and nods to $N.~
VictFound   $n nods to you and says "Ahhh, yes..."~
CharAuto    Ahhh, yes....you're quite right!~
OthersAuto  $n mumbles "Ahh, yes..." lost in thought.~
End

#SOCIAL
Name        alfalfa~
CharNoArg   You hear a strange voice yell 'Spaaanky!'~
OthersNoArg $n's eyes look puzzled as $e hears strange voices...~
CharFound   You point a finger, making a lone hair on the back of $N's noggin sproing to attention.~
OthersFound $n points a finger, making a lone hair on the back of $N's noggin sproing to attention.~
VictFound   $n points a finger, making a lone hair on the back of your noggin sproing to attention.~
CharAuto    Buy some mousse.~
OthersAuto  $n dreams of mousse.~
End

#SOCIAL
Name        alligator~
CharNoArg   You hop around like you were just bitten by an alligator.~
OthersNoArg $n was just bitten by an alligator!! OW!!~
CharFound   You throw an alligator at $N.~
OthersFound $n throws an alligator at $N!!~
VictFound   $n throws an alligator at you!!~
CharAuto    You wrestle with an alligator.~
OthersAuto  $n wrestles with an alligator, the alligator seems to have the upper hand.~
End

#SOCIAL
Name        amused~
CharNoArg   You seem amused about something.~
OthersNoArg $n gives an amused look.~
CharFound   You give $N an amused grin.~
OthersFound $n gives $N an amused grin.~
VictFound   $n gives you an amused grin.~
CharAuto    You give yourself an amused grin.~
OthersAuto  $n seems rather amused with $mself.~
End

#SOCIAL
Name        angel~
CharNoArg   You attempt to straighten your halo.~
OthersNoArg $n attempts to straighten $s halo.~
CharFound   You try to convince $N that you're an angel. Think $E believes it?~
OthersFound $n tries to convince $N that $e's an angel. Think $e's lying?~
VictFound   $n is trying to convince you $e's an angel. Don't buy it!~
CharAuto    You try convincing yourself that you're an angel.~
OthersAuto  $n tries convincing $mself that $e's an angel.~
End

#SOCIAL
Name        apologize~
CharNoArg   You apologize for your behavior.~
OthersNoArg $n apologizes for $s rude behavior.~
CharFound   You apologize to $M.~
OthersFound $n apologizes to $N.~
VictFound   $n apologizes to you.~
CharAuto    You apologize to yourself.~
OthersAuto  $n apologizes to $mself.  Hmmmm.~
End

#SOCIAL
Name        applaud~
CharNoArg   Clap, clap, clap.~
OthersNoArg $n gives a round of applause.~
CharFound   You clap at $S actions.~
OthersFound $n claps at $N's actions.~
VictFound   $n gives you a round of applause.  You MUST'VE done something good!~
CharAuto    You applaud at yourself.  Boy, are we conceited!~
OthersAuto  $n applauds at $mself.  Boy, are we conceited!~
End

#SOCIAL
Name        arena~
CharNoArg   You glare around the room, looking for a fight.~
OthersNoArg $n glares around the room, looking for a fight.~
CharFound   You glare at $N and say, 'Let's take this to the arena.'~
OthersFound $n glares at $N and says, 'Let's take this to the arena.'~
VictFound   $n glares at you and says, 'Let's take this to the arena.'~
CharAuto    You give up on trying to find a fight and pkill yourself!~
OthersAuto  $n gives up $s search for a fight, and decides to pkill $mself.~
End

#SOCIAL
Name        arf~
CharNoArg   You exclaim, "Arf! Arf! Arf!"~
OthersNoArg $n exclaims, "Arf! Arf! Arf!"~
CharFound   You look at $N and exclaim, "Arf! Arf! Arf!"~
OthersFound $n looks at $N and exclaims, "Arf! Arf! Arf!"~
VictFound   $n looks at you and exclaims, "Arf! Arf! Arf!"~
CharAuto    You run around the room exclaiming, "Arf! Arf! Arf!"~
OthersAuto  $n runs around the room exclaiming, "Arf! Arf! Arf!"~
End

#SOCIAL
Name        attention~
CharNoArg   Are you in need of a little attention?~
OthersNoArg $n is looking for some attention.~
CharFound   You tap $N on the shoulder.~
